file	bytes	sha256	action_instructions	explicit_refs
originals/recovered/freehost-era/RoomzMain_2006-10-26.swf	11204	4593da9c40a69d5ecee5cbec994103dbbd3401d1309474dd2a6b72f627e3f97b	79	Intro.swf
originals/recovered/freehost-era/RoomzMain_2006-10-28.swf	11134	9cf314a105199ecd937f5bfe68528c5a29b11a599ddd11b6217d315771cff939	79	Intro.swf
originals/recovered/freehost-era/RoomzMain_2006-11-11.swf	11147	69d526b7669b32284577b6efb3187be560c577974bb0c9232477341e9c513e41	80	Intro.swf | frame.swf
originals/recovered/yoyo/RoomzMain_2007.swf	11034	61c728f54f9552744edc19f22b152a7ed89854b45891316957eaeaf763d4add9	114	loadRoom.swf | Intro.swf | frame.swf
originals/recovered/yoyo/RoomzMain_2011.swf	10995	d7dd1d01587d2857d5bb67cc7b94c0ab6f9fc18b53d66cd81f2b849606ea32e1	84	loadRoom.swf | Intro.swf | frame.swf
originals/recovered/dreamwardgames/Intro.swf	329128	b6f0e021fab208effa7d066671b1584f726d069bcb66dc0e65afdadb6b3992ea	420	loadRoom.swf | sciemka.swf | about.swf | http://dreamward.home.pl/theroomz/hof.htm | check.swf | rules.swf | interface.swf | solutions.swf | ile.txt | bonus.txt
originals/recovered/dreamwardgames/RoomzMain.swf	10995	55478cbaa7e32dcbfdf90d5766d9d0f8eaaf12969bcfd2057d8c51fda900e51c	84	loadRoom.swf | Intro.swf | frame.swf
originals/recovered/dreamwardgames/UnderTR.swf	23282	6e88693508b8a23edbc8c604035e59e721b19e3ac92c234d289555f57bbcdcf4	32	donate/index.html | http://theroomz.19.forumer.com/index.php
originals/recovered/dreamwardgames/frame.swf	344	ee32de2a31bafbad87e70cfd45d148e88b3f2ee1a4a50427f097249bdae601de	42	tescik.swf
originals/recovered/dreamwardgames/interface.swf	55532	ce0585181bf6c7071f95271e9fd3c6882321408fbc9a4199a4de3ff6c0a253e5	1698	
originals/recovered/dreamwardgames/loadRoom.swf	9261	b3710c350c39b56a941a687412b724877e0206a60e6ec5d8973431b68708df0d	180	
originals/recovered/demo/the-roomz-3-room-demo.swf	469970	69c8e5d139d029617a5a65605e88c6103214cb1831b1ae1c4f059fb38b848967	6788	
