stage	target	timestamp	error
cdx	https://theroomz.yoyo.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.yoyo.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.yoyo.pl:80/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://theroomz.yoyo.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.yoyo.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.yoyo.pl:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://theroomz.yoyo.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.yoyo.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.yoyo.pl:80/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.yoyo.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.theroomz.yoyo.pl/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.yoyo.pl:80/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.theroomz.yoyo.pl/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.yoyo.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.yoyo.pl:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.theroomz.yoyo.pl/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://theroomz.org/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.org/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.org:80/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.org:80/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.org/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://theroomz.org/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.org/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://theroomz.org:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.org:80/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://theroomz.org/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.org/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.theroomz.org/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.org/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.org:80/Check.swf		"RuntimeError(""URLError(TimeoutError('timed out'))"")"
cdx	http://www.theroomz.org:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.theroomz.org/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://www.theroomz.org/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://www.theroomz.org/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamwardgames.com/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com:80/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com/check.swf		"RuntimeError(""URLError(TimeoutError('timed out'))"")"
cdx	http://dreamwardgames.com/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com:80/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamwardgames.com/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com:80/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamwardgames.com/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com:80/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamwardgames.com/theroomz/check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com/theroomz/CHECK.SWF		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	https://dreamwardgames.com/theroomz/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx	http://dreamwardgames.com:80/theroomz/Check.swf		"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
