stage	crawl	query_url	error
query	CC-MAIN-2008-2009	theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	www.theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	www.theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	www.theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	dreamward.home.pl/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2008-2009	dreamwardgames.com/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	www.theroomz.yoyo.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	www.theroomz.org/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	www.theroomz.freehost.pl/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	dreamward.home.pl/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
query	CC-MAIN-2009-2010	dreamwardgames.com/theroomz/check.swf	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
