crawl	pattern	error
CC-MAIN-2008-2009	www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2013-20	www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2013-20	theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2008-2009	theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2009-2010	dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2013-20	www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2013-20	theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2008-2009	theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2009-2010	dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2008-2009	www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2014-10	dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2013-20	dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2015-06	theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2014-10	theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2015-06	theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2014-10	theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2015-06	www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2014-10	dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2014-10	www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2013-20	dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2015-06	dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2015-06	dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2014-10	www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2015-06	www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2016-07	theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-07-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2016-07	www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-07-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2016-07	dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-07-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2016-07	www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-07-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2016-07	dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-07-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
CC-MAIN-2016-07	theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-07-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
