post_id	author	date	body
3742326		10-27-2006,  07:51 PM	"Hi there ,
Here I have some riddle game which was released by me and my friend about 2 weeks ago:
 http://theroomz.freehost.pl 
The main objective is to pass through all rooms (something kinda 'escape the room game'). Always You need to find the password to go to the next room. Password is hidden, ciphered, or You need to make up one using hints, which You can find in each room.
There is a RULES thingy (in MAIN MENU), where You can read the instructions.
I would really appreciate Your thoughts and opinions about that game.
Thanks in advance"
3742350		10-27-2006,  08:55 PM	"Stachu,
Awesome work on this game, I always love the puzzles.
I've seen a lot of non-english forums talk about it (i just googled it when i got stuck on level 3)."
3742355		10-27-2006,  09:04 PM	"Yeah, You're right. Lots of foreign language sites...
What a pity, that I don't understand most of them xD"
3742529		10-28-2006,  07:23 AM	"Hard but fun, really good intro aswell 
don't put ""in association with macromedia flash 8"" it looks unprofessional."
3742550		10-28-2006,  08:17 AM	"Originally Posted by tidenburg 
 don't put ""in association with macromedia flash 8"" it looks unprofessional.
O_o?
Why do You think so?
You're the first who told me this..."
3742551		10-28-2006,  08:18 AM	Very clever! But get rid of the 'in association with macromedia flash 8'. You're not really 'in association' with the program you made the game in, plus, it's Adobe Flash 8 now.
3742556		10-28-2006,  08:39 AM	"there you go stachu now i'm not the only one 
In your games you should never mention how you made it unless you are required to, this is because not only does it look like your trying to show off (which I know you weren't) it just looks like your trying to fill space. Try and get in with miniclip of crazy monkey games and then put them as the people who your associated with."
3742587		10-28-2006,  10:28 AM	"Ok, I'll change that.
But there should be some text instead... no idea what could I write there... :P
edit: Deleted xD"
3742632		10-28-2006,  12:41 PM	Excellent job! 5 stars for your game
3742707		10-28-2006,  03:04 PM	why can't i even figure out the first puzzle
3742730		10-28-2006,  03:55 PM	Nice job. Very challenging. I got to room 3. Stopped because I just don't have time. ;-)
3742779		10-28-2006,  05:55 PM	Hard, but interesting...
3743347		10-29-2006,  07:26 PM	having trouble in room six... can't figure out how to cast a spell... any hints?
3743686		10-30-2006,  09:59 AM	"Thanks, I really appreciate your opinions 
If You have problems, visit forum 
( http://theroomz.19.forumer.com )"
3744193		10-30-2006,  10:01 PM	can you change forum settings so people don't have to register?
3744403		10-31-2006,  07:35 AM	"It is not a good idea...
No registering = full of spamers.
Registering is not that difficult, don't You think so?"
