stage	target	timestamp	original	detail	error
cdx-exact	https://theroomz.freehost.pl/sciemka.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://theroomz.freehost.pl/Tescik.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://theroomz.freehost.pl/hof.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://theroomz.freehost.pl/Paper/Blackandwhite.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.freehost.pl/solutions.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://www.theroomz.freehost.pl/ile.txt				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://theroomz.yoyo.pl:80/TESCIK.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://theroomz.yoyo.pl/ILE.TXT				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://theroomz.yoyo.pl/Redirect.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://theroomz.yoyo.pl/paper/Blackandwhite.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.yoyo.pl/About.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.yoyo.pl/rules.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.yoyo.pl/TESCIK.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.yoyo.pl:80/REDIRECT.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.yoyo.pl/HOF.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.yoyo.pl/paper/blackandwhite.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://theroomz.org/Hof.SWF				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://theroomz.org:80/hof.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://theroomz.org:80/paper/Blackandwhite.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://www.theroomz.org/check.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.org:80/about.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.org:80/Solutions.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://www.theroomz.org/Ile.TXT				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.theroomz.org:80/Paper/Blackandwhite.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://dreamward.home.pl:80/theroomz/sciemka.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	https://dreamward.home.pl/theroomz/Rules.swf				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://dreamward.home.pl:80/theroomz/ILE.TXT				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
cdx-exact	http://www.dreamwardgames.com:80/theroomz/ile.txt				"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
