stage	target	when	service_or_url	error
memento-api	http://theroomz.freehost.pl/check.swf	2006	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2006	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2007	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2007	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2008	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2008	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2010	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2010	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2012	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2012	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2015	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2015	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2016	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.freehost.pl/check.swf	2016	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2006	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2006	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2007	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2007	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2008	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2008	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2010	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2010	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2012	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2012	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2015	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2015	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2016	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.freehost.pl/check.swf	2016	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2006	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2006	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2007	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2007	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2008	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2008	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2010	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2010	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2012	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2012	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2015	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2015	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2016	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.yoyo.pl/check.swf	2016	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2006	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2006	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2007	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2007	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2008	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2008	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2010	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2010	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2012	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2012	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2015	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2015	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2016	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://www.theroomz.yoyo.pl/check.swf	2016	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.org/check.swf	2006	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.org/check.swf	2006	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.org/check.swf	2007	https://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
memento-api	http://theroomz.org/check.swf	2007	http://timetravel.mementoweb.org	"RuntimeError(""URLError(gaierror(-2, 'Name or service not known'))"")"
