source	line	text
research/dreamward-forum-pages/20130922032204_c1c542834866_index.php.html	188	Currently working on: The Roomz: Eclipse (room 10) The Roomz: Abandoned Pit (in development) Elemental Defender (in development) Connotizer (testing) Website version: 1.1
research/dreamward-forum-pages/20130922032204_c1c542834866_index.php.html	254	The Roomz
research/dreamward-forum-pages/20130922032204_c1c542834866_index.php.html	266	The Roomz: Eclipse
research/dreamward-forum-pages/20130922042327_4ce58145d67c_index.php.html	188	Currently working on: The Roomz: Eclipse (room 10) The Roomz: Abandoned Pit (in development) Elemental Defender (in development) Connotizer (testing) Website version: 1.1
research/dreamward-forum-pages/20130922042327_4ce58145d67c_index.php.html	254	The Roomz
research/dreamward-forum-pages/20130922042327_4ce58145d67c_index.php.html	266	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	226	Why can’t I add attachments?
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	324	Attachments
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	326	What attachments are allowed on this board?
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	328	How do I find all my attachments?
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	627	To add a signature to a post you must first create one via your User Control Panel. Once created, you can check the Attach a signature box on the posting form to add your signature. You can also add a signature by default to all your posts by checking the appropriate radio button in your profile. If you do so, you can still prevent a signature being added to individual posts by un-checking the add signature box within the posting form.
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	691	» Why can’t I add attachments?
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	692	Attachment permissions are granted on a per forum, per group, or per user basis. The board administrator may not have allowed attachments to be added for the specific forum you are posting in, or perhaps only certain groups can post attachments. Contact the board administrator if you are unsure about why you are unable to add attachments.
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	818	Yes, images can be shown in your posts. If the administrator has allowed attachments, you may be able to upload the image to the board. Otherwise, you must link to an image stored on a publicly accessible web server, e.g. http://www.example.com/my-picture.gif. You cannot link to pictures stored on your own PC (unless it is a publicly accessible server) nor images stored behind authentication mechanisms, e.g. hotmail or yahoo mailboxes, password protected sites, etc. To display the image use the BBCode [img] tag.
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1215	Attachments
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1222	» What attachments are allowed on this board?
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1223	Each board administrator can allow or disallow certain attachment types. If you are unsure what is allowed to be uploaded, contact the board administrator for assistance.
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1235	» How do I find all my attachments?
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1236	To find your list of attachments that you have uploaded, go to your User Control Panel and follow the links to the attachments section.
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1334	The Roomz
research/dreamward-forum-pages/20130923190121_83a483753361_faq.php.html	1336	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190125_ad554d265f0f_viewforum.php.html	266	The Roomz
research/dreamward-forum-pages/20130923190125_ad554d265f0f_viewforum.php.html	268	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190147_532bc593d5a9_viewforum.php.html	798	You can post new topics in this forum You can reply to topics in this forum You cannot edit your posts in this forum You cannot delete your posts in this forum You cannot post attachments in this forum
research/dreamward-forum-pages/20130923190147_532bc593d5a9_viewforum.php.html	832	The Roomz
research/dreamward-forum-pages/20130923190147_532bc593d5a9_viewforum.php.html	834	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190151_a9d435cfb703_viewforum.php.html	798	You can post new topics in this forum You can reply to topics in this forum You cannot edit your posts in this forum You cannot delete your posts in this forum You cannot post attachments in this forum
research/dreamward-forum-pages/20130923190151_a9d435cfb703_viewforum.php.html	832	The Roomz
research/dreamward-forum-pages/20130923190151_a9d435cfb703_viewforum.php.html	834	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190202_beb57f38eb6a_viewforum.php.html	279	You cannot post new topics in this forum You cannot reply to topics in this forum You cannot edit your posts in this forum You cannot delete your posts in this forum You cannot post attachments in this forum
research/dreamward-forum-pages/20130923190202_beb57f38eb6a_viewforum.php.html	313	The Roomz
research/dreamward-forum-pages/20130923190202_beb57f38eb6a_viewforum.php.html	315	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190855_fad441304507_viewforum.php.html	719	The Roomz
research/dreamward-forum-pages/20130923190855_fad441304507_viewforum.php.html	731	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190855_fad441304507_viewforum.php.html	849	The Roomz
research/dreamward-forum-pages/20130923190855_fad441304507_viewforum.php.html	851	The Roomz: Eclipse
research/dreamward-forum-pages/20130923190929_eea540482b34_viewforum.php.html	798	You can post new topics in this forum You can reply to topics in this forum You cannot edit your posts in this forum You cannot delete your posts in this forum You cannot post attachments in this forum
research/dreamward-forum-pages/20130923190929_eea540482b34_viewforum.php.html	832	The Roomz
research/dreamward-forum-pages/20130923190929_eea540482b34_viewforum.php.html	834	The Roomz: Eclipse
research/dreamward-forum-pages/20130924082948_302a28dbf3f2_viewforum.php.html	183	Currently working on: The Roomz: Eclipse (room 10) The Roomz: Abandoned Pit (in development) Elemental Defender (in development) Connotizer (testing) Website version: 1.1
