source	line	text
originals/recovered/yoyo-by-capture/20070116125329/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070116125329/www.theroomz.yoyo.pl/index.html	15	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070116125329/www.theroomz.yoyo.pl/index.html	17	<param name="movie" value="RoomzMain.swf" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070116125329/www.theroomz.yoyo.pl/index.html	20	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
originals/recovered/yoyo-by-capture/20070116125329/www.theroomz.yoyo.pl/index.html	21	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070116125329/www.theroomz.yoyo.pl/index.html	30	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8ZJEvMTSuAwt4MGVlMQD0BTEyBTZ2L2H1BGxkLJMwLmOzZwHkL2MzMUj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	16	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	18	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	21	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
