stage	target	error
cdx	https://dreamward.home.pl/theroomz/BlackAndWhite.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=https%3A%2F%2Fdreamward.home.pl%2Ftheroomz%2FBlackAndWhite.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	https://dreamward.home.pl/theroomz/paper/BlackAndWhite.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=https%3A%2F%2Fdreamward.home.pl%2Ftheroomz%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	https://dreamward.home.pl/theroomz/hof.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=https%3A%2F%2Fdreamward.home.pl%2Ftheroomz%2Fhof.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	https://dreamward.home.pl/theroomz/Redirect.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=https%3A%2F%2Fdreamward.home.pl%2Ftheroomz%2FRedirect.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	http://dreamwardgames.com/theroomz/paper/BlackAndWhite.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fdreamwardgames.com%2Ftheroomz%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	http://dreamwardgames.com/theroomz/BlackAndWhite.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fdreamwardgames.com%2Ftheroomz%2FBlackAndWhite.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	http://dreamwardgames.com/theroomz/hof.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fdreamwardgames.com%2Ftheroomz%2Fhof.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	http://dreamwardgames.com/theroomz/Redirect.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fdreamwardgames.com%2Ftheroomz%2FRedirect.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	https://dreamwardgames.com/theroomz/paper/BlackAndWhite.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=https%3A%2F%2Fdreamwardgames.com%2Ftheroomz%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
cdx	https://dreamwardgames.com/theroomz/BlackAndWhite.swf	RuntimeError('https://web.archive.org/cdx/search/cdx?url=https%3A%2F%2Fdreamwardgames.com%2Ftheroomz%2FBlackAndWhite.swf&matchType=exact&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&collapse=digest: <urlopen error [Errno 111] Connection refused>')
