term	file	context
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/this-lesson-2007.html	"e enough will to find the right one?<br> <font size=""1"">did you draw conclusions from the lessons?</font></font> <script src=""http://www.google-analytics.com/urchin.js"" type=""text/javascript""></script><script type=""text/javascript"">_uacct = ""UA-1482806-8""; urchinTracker(); </script> <script src=""/yoyo.pnq"" type=""text/javascript""></script> </body> </html>"
cannon.txt	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	file timestamp original_url bytes sha256 fetched_url cannon.txt 20071114203520 http://www.theroomz.yoyo.pl:80/cannon.txt 345 99e085eb73485979e7b53ad556db8029c2098b51b2d42618d2ca605ddf998f39 https://web.archive.org/web/20071114203520id_/http://www.theroomz.yoyo.pl:80/cannon.txt danger-root.html 20160504022936 http://www.theroomz.yoyo.pl/danger/ 25031 d6dbb3744c81fc76d8ad1d180148215fa5cc85a72ee75ee237b5c2dd865a87ce https://web.archive.org/web/20160504022936id_/http://www.theroomz.yoyo.pl/danger/ danger-map.html 20160502013935 http://www.theroomz.yoyo.pl/dange
cannon.txt	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	file timestamp original_url bytes sha256 fetched_url cannon.txt 20071114203520 http://www.theroomz.yoyo.pl:80/cannon.txt 345 99e085eb73485979e7b53ad556db8029c2098b51b2d42618d2ca605ddf998f39 https://web.archive.org/web/20071114203520id_/http://www.theroomz.yoyo.pl:80/cannon.txt danger-root.html 20160504022936 http://www.theroomz.yoyo.pl/danger/ 25031 d6dbb3744c81fc76d8ad1d180148215fa5cc85a72ee75ee237b5c2dd865a87ce https://web.archive.org/web/20160504022936id_/http://www.theroomz.yoyo.pl/danger/ danger-map.html 20160502013935 http://www.theroomz.yoyo.pl/danger/map.htm/ 25063 b5c1f34c047121d3b96abe633f5ef427fada7adf
cannon.txt	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	file timestamp original_url bytes sha256 fetched_url cannon.txt 20071114203520 http://www.theroomz.yoyo.pl:80/cannon.txt 345 99e085eb73485979e7b53ad556db8029c2098b51b2d42618d2ca605ddf998f39 https://web.archive.org/web/20071114203520id_/http://www.theroomz.yoyo.pl:80/cannon.txt danger-root.html 20160504022936 http://www.theroomz.yoyo.pl/danger/ 25031 d6dbb3744c81fc76d8ad1d180148215fa5cc85a72ee75ee237b5c2dd865a87ce https://web.archive.org/web/20160504022936id_/http://www.theroomz.yoyo.pl/danger/ danger-map.html 20160502013935 http://www.theroomz.yoyo.pl/danger/map.htm/ 25063 b5c1f34c047121d3b96abe633f5ef427fada7adf73dd5b20ca5cfca0c143fdf5 https://web.archive.org/web/20160502013935id_/http://www.theroomz.yoyo.pl/danger/map.htm/ paper-root.html 20071121144203 http://www.
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	sson-2008.html 20080204150434 http://www.theroomz.yoyo.pl:80/this/lesson.htm 297 399fb2d5e9b0ef84683209df747a35a990e325898ae439873f27c7d0347971fe https://web.archive.org/web/20080204150434id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 http://www.theroomz.yoyo.pl:80/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20071018092116id_/http://www.theroomz.yoyo.pl:80/yoyo.pnq hof-20080502.html 20080502181650 http://www.theroomz.yoyo.pl:80/hof.htm 4437 84f61c6b1cc28b89085131c06c65f5871c0558e7871369
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	s://web.archive.org/web/20080204150434id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 http://www.theroomz.yoyo.pl:80/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20071018092116id_/http://www.theroomz.yoyo.pl:80/yoyo.pnq hof-20080502.html 20080502181650 http://www.theroomz.yoyo.pl:80/hof.htm 4437 84f61c6b1cc28b89085131c06c65f5871c0558e7871369009fbb471074d7e388 https://web.archive.org/web/20080502181650id_/http://www.theroomz.yoyo.pl:80/hof.htm roomz-2012.html 20121106220606 http://www.ther
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	this/lesson.htm yoyo-20070920.pnq 20070920121441 http://www.theroomz.yoyo.pl/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 http://www.theroomz.yoyo.pl:80/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20071018092116id_/http://www.theroomz.yoyo.pl:80/yoyo.pnq hof-20080502.html 20080502181650 http://www.theroomz.yoyo.pl:80/hof.htm 4437 84f61c6b1cc28b89085131c06c65f5871c0558e7871369009fbb471074d7e388 https://web.archive.org/web/20080502181650id_/http://www.theroomz.yoyo.pl:80/hof.htm roomz-2012.html 20121106220606 http://www.theroomz.yoyo.pl/roomz.htm 4437 9d31bf07019eb83c785dbfe55588c3658d67078ee3ebe
yoyo.pnq	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	https://web.archive.org/web/20070920121441id_/http://www.theroomz.yoyo.pl/yoyo.pnq yoyo-20071018.pnq 20071018092116 http://www.theroomz.yoyo.pl:80/yoyo.pnq 0 e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 https://web.archive.org/web/20071018092116id_/http://www.theroomz.yoyo.pl:80/yoyo.pnq hof-20080502.html 20080502181650 http://www.theroomz.yoyo.pl:80/hof.htm 4437 84f61c6b1cc28b89085131c06c65f5871c0558e7871369009fbb471074d7e388 https://web.archive.org/web/20080502181650id_/http://www.theroomz.yoyo.pl:80/hof.htm roomz-2012.html 20121106220606 http://www.theroomz.yoyo.pl/roomz.htm 4437 9d31bf07019eb83c785dbfe55588c3658d67078ee3ebee13b60e8c2935c9ba65 https://web.archive.org/web/20121106220606id_/http://www.theroomz.yoyo.pl/roomz.htm rrr-2012.html 20121102214345 http://www.theroomz.
/paper/	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	r/ danger-map.html 20160502013935 http://www.theroomz.yoyo.pl/danger/map.htm/ 25063 b5c1f34c047121d3b96abe633f5ef427fada7adf73dd5b20ca5cfca0c143fdf5 https://web.archive.org/web/20160502013935id_/http://www.theroomz.yoyo.pl/danger/map.htm/ paper-root.html 20071121144203 http://www.theroomz.yoyo.pl:80/paper/ 3453 b71deb6d2f18ae23547a9e98209f796045a73a02e18f4e094344af451252b144 https://web.archive.org/web/20071121144203id_/http://www.theroomz.yoyo.pl:80/paper/ this-root.html 20071128034207 http://www.theroomz.yoyo.pl:80/this/ 376 a733ad6f1a509ee243510273f92884c2532fe0cfd82b1a36ec4dedbe526ddfa7 https://web.archive.org/web/20071128034207id_/http://www.theroomz.yoyo.pl:80/this/ this-lesson-2007.html 20071129231525 http://www.theroomz.yoyo.pl:80/this/lesson.htm 527 b77613cf2d00591b7edff1c3f4336a1666ebd9
/paper/	research/newly-recovered/yoyo-obscure-paths/manifest.tsv	://web.archive.org/web/20160502013935id_/http://www.theroomz.yoyo.pl/danger/map.htm/ paper-root.html 20071121144203 http://www.theroomz.yoyo.pl:80/paper/ 3453 b71deb6d2f18ae23547a9e98209f796045a73a02e18f4e094344af451252b144 https://web.archive.org/web/20071121144203id_/http://www.theroomz.yoyo.pl:80/paper/ this-root.html 20071128034207 http://www.theroomz.yoyo.pl:80/this/ 376 a733ad6f1a509ee243510273f92884c2532fe0cfd82b1a36ec4dedbe526ddfa7 https://web.archive.org/web/20071128034207id_/http://www.theroomz.yoyo.pl:80/this/ this-lesson-2007.html 20071129231525 http://www.theroomz.yoyo.pl:80/this/lesson.htm 527 b77613cf2d00591b7edff1c3f4336a1666ebd993e071d9f5dda7d2580c910ac0 https://web.archive.org/web/20071129231525id_/http://www.theroomz.yoyo.pl:80/this/lesson.htm this-lesson-2008.html 200802041504
