from	to	change	string
2006-10-26	2006-10-28	removed	"<p align=""center""><font face=""Ariendezze"" size=""30"" color=""#ffffff"" letterSpacing=""0.000000"" kerning=""1"">http://theroomz.freehosp.pl</font></p>"
2006-10-28	2006-11-11	added	_level110
2006-10-28	2006-11-11	added	frame.swf
2006-11-11	2007-yoyo	added	_level0
2006-11-11	2007-yoyo	added	_level107
2006-11-11	2007-yoyo	added	http://theroomz.yoyo.pl
2006-11-11	2007-yoyo	added	http://www.theroomz.yoyo.pl
2006-11-11	2007-yoyo	added	loadRoom.swf
2006-11-11	2007-yoyo	removed	http://theroomz.freehost.pl
2006-11-11	2007-yoyo	removed	http://www.theroomz.freehost.pl
2007-yoyo	2011-yoyo	removed	http://www.theroomz.yoyo.pl
