method	original	timestamp	status_or_available	signature_or_capture_ts	final_or_capture_url	detail
availability	http://www.theroomz.yoyo.pl/RRR.swf	20121102214345	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://www.theroomz.yoyo.pl/RRR.swf	20121102	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://www.theroomz.yoyo.pl/rrr.swf	20121102214345	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://www.theroomz.yoyo.pl/rrr.swf	20121102	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://www.theroomz.yoyo.pl:80/RRR.swf	20121102214345				
availability	http://www.theroomz.yoyo.pl:80/RRR.swf	20121102	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://www.theroomz.yoyo.pl:80/rrr.swf	20121102214345	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://www.theroomz.yoyo.pl:80/rrr.swf	20121102	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://theroomz.yoyo.pl/RRR.swf	20121102214345	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://theroomz.yoyo.pl/RRR.swf	20121102	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://theroomz.yoyo.pl/rrr.swf	20121102214345	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
availability	http://theroomz.yoyo.pl/rrr.swf	20121102	True	20121102214347	http://web.archive.org/web/20121102214347/http://www.theroomz.yoyo.pl/RRR.swf	
replay	http://www.theroomz.yoyo.pl/RRR.swf	20121102214345	200	CWS	https://web.archive.org/web/20121102214347id_/http://www.theroomz.yoyo.pl/RRR.swf	17061 bytes sha256=c58a2a373bcc3c1cb36b9864b4bf1932f009c8f96a457f9d4d3db3cdc5f8f4f5
replay	http://www.theroomz.yoyo.pl/RRR.swf	20121102	200	CWS	https://web.archive.org/web/20121102214347id_/http://www.theroomz.yoyo.pl/RRR.swf	17061 bytes sha256=c58a2a373bcc3c1cb36b9864b4bf1932f009c8f96a457f9d4d3db3cdc5f8f4f5
replay	http://www.theroomz.yoyo.pl/RRR.swf	2012	200	CWS	https://web.archive.org/web/20121102214347id_/http://www.theroomz.yoyo.pl/RRR.swf	17061 bytes sha256=c58a2a373bcc3c1cb36b9864b4bf1932f009c8f96a457f9d4d3db3cdc5f8f4f5
replay	http://www.theroomz.yoyo.pl/RRR.swf	2011	200	CWS	https://web.archive.org/web/20121102214347id_/http://www.theroomz.yoyo.pl/RRR.swf	17061 bytes sha256=c58a2a373bcc3c1cb36b9864b4bf1932f009c8f96a457f9d4d3db3cdc5f8f4f5
