stage	timestamp	target	error
asset-replay	20130109232246	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
asset-replay	20130110164059	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130111235551	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
asset-replay	20130112143346	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130112171828	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130112230613	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130113022321	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130113081221	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130113101305	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130113123250	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
asset-replay	20130113144901	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 500: 'Internal Server Error'>"")"
asset-replay	20130113205420	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""URLError(ConnectionRefusedError(111, 'Connection refused'))"")"
asset-replay	20130604025435	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
asset-replay	20130628192402	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
asset-replay	20130712225644	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
asset-replay	20130727010144	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
asset-replay	20130810074359	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
asset-replay	20131209210243	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
asset-replay	20131216122226	http://ad.yoyo.pl/img/kill.png	"RuntimeError(""<HTTPError 404: 'Not Found'>"")"
